country;year;uneducated;primary;secondary;tertiary;years of education total;years education primary;years education secondary;years education tertiary;population in thousands;region
;2005;5,9;46,6;40,6;6,9;6,14;3,03;2,88;0,23;1987;Middle East and North Africa
;2010;5,6;44,1;43,1;7,2;6,39;3,1;3,05;0,24;2245;Middle East and North Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Libya;1870;100;0;0;0;0,01;0;0;0;325;Middle East and North Africa
;1875;100;0;0;0;0,01;0;0;0;325;Middle East and North Africa
;1880;99,9;0,1;0;0;0,01;0;0;0;326;Middle East and North Africa
;1885;99,9;0,1;0;0;0,01;0;0;0;335;Middle East and North Africa
;1890;99,9;0,1;0;0;0,01;0,01;0;0;344;Middle East and North Africa
;1895;99,9;0,1;0;0;0,01;0,01;0;0;368;Middle East and North Africa
;1900;99,8;0,2;0;0;0,01;0,01;0;0;391;Middle East and North Africa
;1905;99,7;0,3;0;0;0,01;0,01;0;0;398;Middle East and North Africa
;1910;98,6;1,4;0;0;0,05;0,04;0;0;405;Middle East and North Africa
;1915;97,6;2,4;0;0;0,08;0,08;0;0;404;Middle East and North Africa
;1920;96,8;3,1;0;0;0,1;0,1;0;0;403;Middle East and North Africa
;1925;94,2;5,8;0,1;0;0,19;0,19;0,01;0;401;Middle East and North Africa
;1930;92,3;7,5;0,2;0,1;0,26;0,25;0,01;0;399;Middle East and North Africa
;1935;90,8;9;0,2;0,1;0,31;0,3;0,01;0;453;Middle East and North Africa
;1940;89,4;10,4;0,2;0,1;0,36;0,34;0,01;0;507;Middle East and North Africa
;1945;87,9;11,8;0,3;0,1;0,41;0,39;0,02;0;542;Middle East and North Africa
;1950;86,2;13,3;0,3;0,1;0,47;0,45;0,02;0;550;Middle East and North Africa
;1955;84,2;14,9;0,8;0,1;0,59;0,54;0,04;0;594;Middle East and North Africa
;1960;81,9;16,4;1,5;0,2;0,72;0,65;0,07;0,01;711;Middle East and North Africa
;1965;75,6;21,4;2,8;0,2;1,09;0,97;0,11;0,01;859;Middle East and North Africa
;1970;66,2;28,6;4,5;0,7;1,66;1,43;0,21;0,02;1039;Middle East and North Africa
;1975;56,6;34;8,6;0,9;2,35;1,94;0,39;0,03;1265;Middle East and North Africa
;1980;47,7;34;16,2;2,2;3,45;2,59;0,8;0,06;1556;Middle East and North Africa
;1985;39;34,6;23,9;2,6;4,55;3,23;1,24;0,08;1942;Middle East and North Africa
;1990;32,1;34;30,5;3,4;5,42;3,75;1,57;0,1;2332;Middle East and North Africa
;1995;27,8;31;36,8;4,4;6,13;4,07;1,93;0,13;2798;Middle East and North Africa
;2000;23,8;28,9;35,1;12,1;7,04;4,37;2,32;0,34;3376;Middle East and North Africa
;2005;21,1;26,9;33,2;18,8;7,79;4,58;2,66;0,55;3854;Middle East and North Africa
;2010;18,8;25,4;30,8;24,9;8,43;4,75;2,92;0,75;4232;Middle East and North Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Malta;1870;91,2;8,8;0;0;0,31;0,3;0;0;91;Middle East and North Africa
;1875;89,5;10,5;0;0;0,37;0,37;0;0;94;Middle East and North Africa
;1880;87,5;12,5;0;0;0,44;0,44;0;0;98;Middle East and North Africa
;1885;85,1;14,8;0;0;0,52;0,52;0;0;102;Middle East and North Africa
;1890;82,5;17,5;0;0;0,62;0,62;0;0;105;Middle East and North Africa
;1895;79,4;20,5;0;0;0,73;0,72;0;0;109;Middle East and North Africa
;1900;75,6;21,4;2,2;0,9;1,15;0,93;0,18;0,03;112;Middle East and North Africa
;1905;71,5;24,3;3;1,2;1,4;1,11;0,25;0,04;120;Middle East and North Africa
;1910;76,4;16,4;5,5;1,7;1,5;1,02;0,43;0,05;127;Middle East and North Africa
;1915;71,7;20,1;6,2;2;1,76;1,21;0,49;0,06;134;Middle East and North Africa
;1920;68,1;22,9;6,8;2,2;1,98;1,36;0,54;0,07;141;Middle East and North Africa
;1925;65,6;24,2;7,7;2,5;2,17;1,48;0,61;0,08;149;Middle East and North Africa
;1930;65,1;23,8;8,4;2,7;2,29;1,52;0,67;0,09;156;Middle East and North Africa
;1935;61,1;26,5;9,4;3,1;2,55;1,7;0,75;0,1;163;Middle East and North Africa
;1940;56,1;30,7;10;3,2;2,81;1,89;0,8;0,11;170;Middle East and North Africa
;1945;51,2;34,4;11;3,5;3,09;2,09;0,88;0,12;178;Middle East and North Africa
;1950;47,5;36,9;11,9;3,7;3,32;2,25;0,95;0,13;185;Middle East and North Africa
;1955;38;44;14,6;3,4;3,89;2,67;1,1;0,11;174;Middle East and North Africa
;1960;28,3;50,9;17,8;3;4,49;3,1;1,29;0,1;176;Middle East and North Africa
;1965;21,7;53,3;21,5;3,5;5,1;3,44;1,56;0,1;178;Middle East and North Africa
;1970;22,3;47;26,1;4,5;6,06;3,99;1,92;0,14;194;Middle East and North Africa
;1975;22,4;39,4;32,9;5,3;6,84;4,27;2,4;0,17;200;Middle East and North Africa
;1980;22,5;31,3;40,7;5,6;7,51;4,42;2,9;0,19;216;Middle East and North Africa
;1985;17,7;28,9;47,5;5,9;8,38;4,77;3,4;0,21;228;Middle East and North Africa
;1990;14,6;24,2;54,4;6,8;9,19;5,02;3,92;0,25;237;Middle East and North Africa
;1995;10,8;20,6;60,9;7,7;10,06;5,28;4,49;0,29;252;Middle East and North Africa
;2000;5,9;21,8;62,6;9,7;10,43;5,59;4,48;0,36;265;Middle East and North Africa
;2005;2,6;20,3;66,9;10,2;10,6;5,82;4,4;0,38;276;Middle East and North Africa
;2010;2,5;15,8;68;13,7;11,06;5,82;4,73;0,51;282;Middle East and North Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Morocco;1870;100;0;0;0;0,01;0;0;0;2974;Middle East and North Africa
;1875;100;0;0;0;0,01;0;0;0;3111;Middle East and North Africa
;1880;100;0;0;0;0,01;0;0;0;3249;Middle East and North Africa
;1885;99,9;0,1;0;0;0,01;0;0;0;3386;Middle East and North Africa
;1890;99,9;0,1;0;0;0,01;0;0;0;3523;Middle East and North Africa
;1895;99,9;0,1;0;0;0,01;0,01;0;0;3660;Middle East and North Africa
;1900;99,9;0,1;0;0;0,01;0,01;0;0;3796;Middle East and North Africa
;1905;99,8;0,2;0;0;0,01;0,01;0;0;3932;Middle East and North Africa
;1910;99,8;0,2;0;0;0,01;0,01;0;0;4068;Middle East and North Africa
;1915;99,3;0,4;0,3;0;0,04;0,03;0,01;0;4204;Middle East and North Africa
;1920;98,9;0,6;0,5;0;0,07;0,05;0,03;0;4339;Middle East and North Africa
;1925;98,6;0,7;0,7;0;0,1;0,06;0,04;0;4475;Middle East and North Africa
;1930;98,2;0,4;1,1;0,2;0,16;0,08;0,07;0,01;4610;Middle East and North Africa
;1935;97,8;0,6;1,3;0,2;0,19;0,1;0,09;0,01;4744;Middle East and North Africa
;1940;97,3;0,9;1,5;0,3;0,22;0,12;0,1;0,01;4879;Middle East and North Africa
;1945;96,7;1,3;1,8;0,2;0,26;0,15;0,11;0,01;5013;Middle East and North Africa
;1950;96,2;1,5;2,1;0,2;0,3;0,17;0,12;0,01;4723;Middle East and North Africa
;1955;95;1,8;2,9;0,3;0,39;0,22;0,16;0,01;5337;Middle East and North Africa
;1960;93,5;2,6;3,4;0,5;0,51;0,29;0,21;0,01;6116;Middle East and North Africa
;1965;90,9;3;5,5;0,6;0,75;0,41;0,32;0,01;6746;Middle East and North Africa
;1970;86,2;5,8;6,9;1;1,05;0,6;0,42;0,02;7389;Middle East and North Africa
;1975;80,7;9,4;8,1;1,8;1,43;0,85;0,54;0,04;8507;Middle East and North Africa
;1980;75,4;12;9,6;3;1,88;1,11;0,71;0,07;10325;Middle East and North Africa
;1985;69,3;14,9;11,4;4,4;2,45;1,41;0,91;0,13;12018;Middle East and North Africa
;1990;62,7;18,2;13,2;5,9;3,05;1,76;1,12;0,18;13958;Middle East and North Africa
;1995;56,9;20,4;15,5;7,3;3,64;2,08;1,34;0,22;15922;Middle East and North Africa
;2000;52,1;22,3;17,7;7,9;4,09;2,33;1,52;0,25;18166;Middle East and North Africa
;2005;46,4;24,6;20;8,9;4,63;2,63;1,73;0,28;20177;Middle East and North Africa
;2010;40,5;26,3;23,2;10;5,27;3,04;1,92;0,32;22200;Middle East and North Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Syria;1870;99,8;0,2;0;0;0,01;0,01;0;0;918;Middle East and North Africa
;1875;99,8;0,2;0;0;0,01;0,01;0;0;976;Middle East and North Africa
;1880;99,7;0,3;0;0;0,02;0,01;0;0;1033;Middle East and North Africa
;1885;99,5;0,4;0;0;0,02;0,02;0;0;1091;Middle East and North Africa
;1890;99,4;0,6;0,1;0;0,02;0,02;0;0;1148;Middle East and North Africa
;1895;99,1;0,8;0,1;0;0,03;0,03;0;0;1136;Middle East and North Africa
;1900;98,8;1,1;0,1;0;0,04;0,04;0,01;0;1124;Middle East and North Africa
;1905;96,6;3,2;0,1;0;0,11;0,1;0,01;0;1112;Middle East and North Africa
;1910;94,6;5,2;0,1;0,1;0,16;0,15;0,01;0;1100;Middle East and North Africa
;1915;93,1;6,6;0,2;0,1;0,21;0,19;0,02;0;1088;Middle East and North Africa
;1920;88,1;11,5;0,4;0,1;0,37;0,34;0,03;0;1077;Middle East and North Africa
;1925;86,1;13,4;0,5;0,1;0,43;0,4;0,03;0;1065;Middle East and North Africa
;1930;83,9;15,4;0,5;0,2;0,5;0,46;0,04;0,01;1053;Middle East and North Africa
;1935;81,2;18;0,7;0,2;0,6;0,54;0,05;0,01;1352;Middle East and North Africa
;1940;78,4;20,6;0,8;0,2;0,69;0,63;0,06;0,01;1649;Middle East and North Africa
;1945;75,4;23,3;1;0,3;0,8;0,72;0,07;0,01;1827;Middle East and North Africa
;1950;73,3;25;1,3;0,4;0,92;0,81;0,09;0,01;1893;Middle East and North Africa
;1955;71,2;26,1;2,2;0,4;1,05;0,9;0,13;0,01;2094;Middle East and North Africa
;1960;68,1;27,8;3,7;0,4;1,31;1,1;0,2;0,01;2336;Middle East and North Africa
;1965;64;29,3;5,6;1,1;1,63;1,26;0,34;0,03;2657;Middle East and North Africa
;1970;56,7;32,7;9,7;1;2,2;1,66;0,5;0,03;3131;Middle East and North Africa
;1975;47,9;36,7;13,4;1,9;2,89;2,13;0,7;0,06;3667;Middle East and North Africa
;1980;39,1;40,5;17;3,4;3,55;2,58;0,88;0,1;4323;Middle East and North Africa
;1985;29,5;44,6;21,7;4,2;4,26;3,08;1,06;0,13;5199;Middle East and North Africa
;1990;22,2;51,1;21,9;4,7;4,68;3,41;1,12;0,15;6323;Middle East and North Africa
;1995;16,1;59,8;19,6;4,5;4,77;3,6;1,03;0,14;7762;Middle East and North Africa
;2000;12,3;65,9;18,4;3,5;4,79;3,77;0,9;0,11;9544;Middle East and North Africa
;2005;13,3;53,9;28,4;4,4;6,12;4,59;1,39;0,14;11426;Middle East and North Africa
;2010;12,7;44,7;38;4,6;7,07;4,91;2,01;0,15;13198;Middle East and North Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Tunisia;1870;99,9;0,1;0;0;0,01;0;0;0;699;Middle East and North Africa
;1875;99,9;0,1;0;0;0,01;0,01;0;0;757;Middle East and North Africa
;1880;99,9;0,1;0;0;0,01;0,01;0;0;815;Middle East and North Africa
;1885;99,9;0,1;0;0;0,01;0,01;0;0;883;Middle East and North Africa
;1890;99,8;0,2;0;0;0,01;0,01;0;0;950;Middle East and North Africa
;1895;99,8;0,2;0;0;0,01;0,01;0;0;1029;Middle East and North Africa
;1900;99,7;0,3;0;0;0,02;0,02;0;0;1108;Middle East and North Africa
;1905;99,5;0,5;0;0;0,02;0,02;0;0;1201;Middle East and North Africa
;1910;98,6;1,1;0,2;0,1;0,08;0,06;0,01;0;1293;Middle East and North Africa
;1915;97,7;1,7;0,5;0,1;0,13;0,1;0,03;0;1373;Middle East and North Africa
;1920;97;2,2;0,6;0,2;0,18;0,14;0,04;0,01;1454;Middle East and North Africa
;1925;96,8;2,1;0,8;0,2;0,2;0,14;0,05;0,01;1544;Middle East and North Africa
;1930;96;2,7;1,1;0,3;0,25;0,18;0,06;0,01;1635;Middle East and North Africa
;1935;94,2;3;2,5;0,3;0,42;0,29;0,13;0,01;1737;Middle East and North Africa
;1940;92,9;4;2,8;0,3;0,51;0,35;0,15;0,01;1839;Middle East and North Africa
;1945;91,4;5,2;3;0,4;0,59;0,41;0,16;0,01;1953;Middle East and North Africa
;1950;90;6,2;3,3;0,5;0,68;0,48;0,19;0,02;1957;Middle East and North Africa
;1955;88;7,6;3,9;0,6;0,82;0,58;0,22;0,02;2106;Middle East and North Africa
;1960;85,8;9;4,6;0,6;0,96;0,69;0,25;0,02;2215;Middle East and North Africa
;1965;80,4;12;6,7;0,9;1,37;0,97;0,37;0,03;2321;Middle East and North Africa
;1970;73,3;16,1;9,6;1,1;1,9;1,35;0,52;0,03;2565;Middle East and North Africa
;1975;62,8;23,1;13;1,1;2,63;1,89;0,71;0,03;2985;Middle East and North Africa
;1980;51,2;30,7;16,2;2;3,47;2,5;0,91;0,06;3504;Middle East and North Africa
;1985;48,8;28,4;20,1;2,7;3,93;2,7;1,15;0,09;4103;Middle East and North Africa
;1990;41,1;30,9;24;4;4,68;3,14;1,41;0,13;4727;Middle East and North Africa
;1995;32,8;33,4;28,9;4,8;5,48;3,63;1,69;0,15;5403;Middle East and North Africa
;2000;25,7;34,1;33;7,2;6,32;4,06;2,04;0,23;6116;Middle East and North Africa
;2005;20;32,2;36,9;10,9;7,21;4,42;2,45;0,34;6850;Middle East and North Africa
;2010;15;30,7;40,4;13,9;8;4,74;2,81;0,44;7502;Middle East and North Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Yemen;1870;100;0;0;0;0,01;0;0;0;1616;Middle East and North Africa
;1875;100;0;0;0;0,01;0;0;0;1641;Middle East and North Africa
;1880;100;0;0;0;0,01;0;0;0;1667;Middle East and North Africa
;1885;100;0;0;0;0,01;0;0;0;1692;Middle East and North Africa
;1890;99,9;0,1;0;0;0,01;0;0;0;1717;Middle East and North Africa
;1895;99,9;0,1;0;0;0,01;0,01;0;0;1742;Middle East and North Africa
;1900;99,9;0,1;0;0;0,01;0,01;0;0;1766;Middle East and North Africa
;1905;99,9;0,1;0;0;0,01;0,01;0;0;1791;Middle East and North Africa
;1910;99,9;0,1;0;0;0,01;0,01;0;0;1815;Middle East and North Africa
;1915;99,8;0,1;0;0;0,01;0,01;0;0;1811;Middle East and North Africa
;1920;99,8;0,2;0;0;0,01;0,01;0;0;1944;Middle East and North Africa
;1925;99,8;0,2;0;0;0,01;0,01;0;0;2008;Middle East and North Africa
;1930;99,7;0,2;0;0;0,02;0,01;0;0;2072;Middle East and North Africa
;1935;99,8;0,2;0;0;0,02;0,01;0;0;2135;Middle East and North Africa
;1940;99,7;0,1;0,1;0;0,02;0,01;0,01;0;2197;Middle East and North Africa
;1945;99,7;0,3;0;0;0,02;0,01;0;0;2383;Middle East and North Africa
;1950;99,6;0,4;0;0;0,03;0,02;0;0;2320;Middle East and North Africa
;1955;99,4;0,5;0;0;0,03;0,03;0;0;2468;Middle East and North Africa
;1960;99,2;0,7;0;0;0,04;0,04;0;0;2658;Middle East and North Africa
;1965;98,9;1;0;0;0,06;0,05;0;0;2901;Middle East and North Africa
;1970;98,7;1,3;0;0;0,07;0,06;0;0;3100;Middle East and North Africa
;1975;98,2;1,8;0;0;0,08;0,08;0;0;3326;Middle East and North Africa
;1980;95,6;3,7;0,6;0,1;0,25;0,22;0,03;0;3923;Middle East and North Africa
;1985;90,7;5,9;3;0,4;0,64;0,49;0,14;0,01;4667;Middle East and North Africa
;1990;83,4;9;6,9;0,8;1,25;0,9;0,33;0,02;5591;Middle East and North Africa
;1995;77;12,1;9,4;1,4;1,77;1,25;0,48;0,04;7245;Middle East and North Africa
;2000;69,4;14,4;14,3;1,9;2,45;1,69;0,71;0,06;8854;Middle East and North Africa
;2005;63,4;14;20,1;2,4;3,12;2,06;0,99;0,07;10772;Middle East and North Africa
;2010;55,6;16,7;24,7;3;3,84;2,52;1,24;0,09;12975;Middle East and North Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Benin;1870;100;0;0;0;0,01;0;0;0;530;Sub-Saharan Africa
;1875;99,9;0;0;0;0,01;0;0;0;535;Sub-Saharan Africa
;1880;99,9;0,1;0;0;0,01;0;0;0;540;Sub-Saharan Africa
;1885;99,9;0,1;0;0;0,01;0,01;0;0;544;Sub-Saharan Africa
;1890;99,9;0,1;0;0;0,01;0,01;0;0;549;Sub-Saharan Africa
;1895;99,8;0,1;0;0;0,01;0,01;0;0;554;Sub-Saharan Africa
;1900;99,8;0,2;0,1;0;0,02;0,01;0;0;559;Sub-Saharan Africa
;1905;99,7;0,2;0,1;0;0,02;0,01;0,01;0;564;Sub-Saharan Africa
;1910;99,6;0,3;0,1;0;0,02;0,02;0,01;0;569;Sub-Saharan Africa
;1915;99,5;0,3;0,1;0;0,03;0,02;0,01;0;625;Sub-Saharan Africa
;1920;99,4;0,4;0,2;0;0,04;0,03;0,01;0;681;Sub-Saharan Africa
;1925;97,9;1,6;0,5;0,1;0,12;0,09;0,03;0;748;Sub-Saharan Africa
;1930;96,5;2,8;0,7;0,1;0,2;0,16;0,04;0;815;Sub-Saharan Africa
;1935;95,3;3,7;1;0,1;0,27;0,21;0,06;0;896;Sub-Saharan Africa
;1940;92,8;5,5;1,6;0,1;0,41;0,32;0,09;0;976;Sub-Saharan Africa
;1945;91,7;6,4;1,8;0,2;0,48;0,37;0,1;0,01;1072;Sub-Saharan Africa
;1950;91,2;6,6;2;0,2;0,52;0,4;0,11;0,01;1104;Sub-Saharan Africa
;1955;89,6;7,9;2,3;0,2;0,61;0,48;0,13;0,01;1115;Sub-Saharan Africa
;1960;88,1;9,1;2,6;0,2;0,7;0,55;0,14;0,01;1160;Sub-Saharan Africa
;1965;86,7;10,1;3;0,2;0,79;0,62;0,16;0,01;1274;Sub-Saharan Africa
;1970;85,6;10,8;3,3;0,2;0,87;0,68;0,17;0,01;1445;Sub-Saharan Africa
;1975;84,6;11,2;4;0,2;0,96;0,75;0,2;0,01;1663;Sub-Saharan Africa
;1980;81,9;11,5;6,3;0,3;1,26;0,92;0,33;0,01;1907;Sub-Saharan Africa
;1985;76,8;13,3;9,1;0,8;1,77;1,21;0,53;0,02;2212;Sub-Saharan Africa
;1990;71,8;15,9;11,4;1;2,24;1,5;0,71;0,03;2588;Sub-Saharan Africa
;1995;66,4;18,8;13,2;1,6;2,73;1,8;0,88;0,05;3146;Sub-Saharan Africa
;2000;61,2;19,6;17,2;1,9;3,31;2,11;1,15;0,06;3723;Sub-Saharan Africa
;2005;57,6;19,1;20,7;2,6;3,85;2,35;1,43;0,08;4481;Sub-Saharan Africa
;2010;52,3;19,1;24,7;3,9;4,57;2,68;1,77;0,12;5305;Sub-Saharan Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Cameroon;1870;99,9;0,1;0;0;0,01;0,01;0;0;1310;Sub-Saharan Africa
;1875;99,8;0,2;0;0;0,01;0,01;0;0;1338;Sub-Saharan Africa
;1880;99,8;0,2;0;0;0,01;0,01;0;0;1366;Sub-Saharan Africa
;1885;99,7;0,3;0;0;0,02;0,01;0;0;1394;Sub-Saharan Africa
;1890;99,6;0,4;0;0;0,02;0,02;0;0;1423;Sub-Saharan Africa
;1895;99,2;0,8;0;0;0,03;0,03;0;0;1452;Sub-Saharan Africa
;1900;98,8;1,2;0;0;0,05;0,05;0;0;1482;Sub-Saharan Africa
;1905;98,5;1,5;0;0;0,06;0,06;0;0;1512;Sub-Saharan Africa
;1910;98,3;1,7;0;0;0,07;0,07;0;0;1543;Sub-Saharan Africa
;1915;98,1;1,9;0;0;0,08;0,08;0;0;1714;Sub-Saharan Africa
;1920;97,2;2,8;0;0;0,11;0,11;0;0;1888;Sub-Saharan Africa
;1925;96,2;3,7;0,1;0;0,16;0,15;0,01;0;1879;Sub-Saharan Africa
;1930;95,2;4,7;0,1;0;0,2;0,19;0,01;0;2310;Sub-Saharan Africa
;1935;93,7;5,6;0,6;0;0,29;0,26;0,03;0;2437;Sub-Saharan Africa
;1940;91,9;7,4;0,7;0,1;0,37;0,33;0,04;0;2825;Sub-Saharan Africa
;1945;89,9;9,2;0,8;0,1;0,46;0,41;0,05;0;2973;Sub-Saharan Africa
;1950;86;11,8;2,1;0,1;0,72;0,61;0,11;0;2540;Sub-Saharan Africa
;1955;82,3;14,9;2,7;0,1;0,92;0,78;0,14;0;2751;Sub-Saharan Africa
;1960;78,6;18;3,2;0,1;1,12;0,95;0,17;0;2991;Sub-Saharan Africa
;1965;72,7;22,3;4,8;0,2;1,51;1,24;0,25;0,01;3267;Sub-Saharan Africa
;1970;65,9;27,6;6,2;0,3;1,92;1,58;0,33;0,01;3604;Sub-Saharan Africa
;1975;56,5;34,1;9,2;0,3;2,58;2,08;0,49;0,01;4011;Sub-Saharan Africa
;1980;48;39;12,6;0,4;3,25;2,55;0,69;0,01;4557;Sub-Saharan Africa
;1985;39,5;43,7;16,2;0,5;3,94;3,03;0,9;0,02;5179;Sub-Saharan Africa
;1990;31,5;47,9;19,8;0,9;4,65;3,5;1,13;0,03;5996;Sub-Saharan Africa
;1995;24,4;51,2;23,2;1,3;5,3;3,91;1,35;0,04;6937;Sub-Saharan Africa
;2000;20,2;52,4;25,9;1,6;5,76;4,18;1,53;0,05;7952;Sub-Saharan Africa
;2005;18,9;51,3;27,5;2,3;6,06;4,3;1,69;0,07;8993;Sub-Saharan Africa
;2010;17,7;49,3;29,8;3,2;6,41;4,42;1,89;0,1;10096;Sub-Saharan Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Congo, D.R.;1870;100;0;0;0;0,01;0;0;0;5669;Sub-Saharan Africa
;1875;100;0;0;0;0,01;0;0;0;5713;Sub-Saharan Africa
;1880;100;0;0;0;0,01;0;0;0;5757;Sub-Saharan Africa
;1885;100;0;0;0;0,01;0;0;0;5802;Sub-Saharan Africa
;1890;100;0;0;0;0,01;0;0;0;5846;Sub-Saharan Africa
;1895;100;0;0;0;0,01;0;0;0;5892;Sub-Saharan Africa
;1900;99,7;0,3;0;0;0,02;0,01;0;0;5936;Sub-Saharan Africa
;1905;99,4;0,6;0;0;0,03;0,02;0;0;5982;Sub-Saharan Africa
;1910;99,2;0,8;0,1;0;0,03;0,03;0;0;6027;Sub-Saharan Africa
;1915;94;5,4;0,6;0;0,24;0,22;0,02;0;6074;Sub-Saharan Africa
;1920;93,7;5,7;0,6;0;0,25;0,23;0,02;0;6119;Sub-Saharan Africa
;1925;93,3;6,1;0,6;0;0,26;0,24;0,02;0;6166;Sub-Saharan Africa
;1930;92,3;7,1;0,6;0;0,3;0,27;0,03;0;6212;Sub-Saharan Africa
;1935;91,2;8,2;0,6;0;0,34;0,31;0,03;0;6259;Sub-Saharan Africa
;1940;89,3;10;0,7;0;0,41;0,38;0,03;0;6306;Sub-Saharan Africa
;1945;87,8;11,4;0,8;0;0,49;0,46;0,03;0;6353;Sub-Saharan Africa
;1950;84,8;14,3;1;0;0,62;0,58;0,03;0;6398;Sub-Saharan Africa
;1955;81,4;17,2;1,3;0;0,72;0,67;0,04;0;7205;Sub-Saharan Africa
;1960;77,6;20,5;1,8;0;0,88;0,81;0,06;0;8189;Sub-Saharan Africa
;1965;73,5;23,9;2,5;0,1;1,06;0,97;0,09;0;9310;Sub-Saharan Africa
;1970;68,9;27,4;3,6;0,2;1,3;1,16;0,13;0,01;10706;Sub-Saharan Africa
;1975;63,2;31;5,4;0,4;1,63;1,41;0,21;0,01;12324;Sub-Saharan Africa
;1980;56,7;33;9,8;0,5;2,15;1,76;0,37;0,02;14265;Sub-Saharan Africa
;1985;51;30,9;17,4;0,7;2,86;2,17;0,67;0,02;16337;Sub-Saharan Africa
;1990;46;32,3;20,7;1;3,31;2,43;0,85;0,03;18997;Sub-Saharan Africa
;1995;43;34,6;21,2;1,3;3,52;2,57;0,91;0,04;22569;Sub-Saharan Africa
;2000;43,9;33,6;21,2;1,2;3,51;2,55;0,92;0,04;25143;Sub-Saharan Africa
;2005;43,1;33,5;22,4;1;3,63;2,62;0,97;0,03;28806;Sub-Saharan Africa
;2010;42,9;31,7;24,4;0,9;3,79;2,7;1,06;0,03;33316;Sub-Saharan Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Cote dIvoire;1870;99,9;0,1;0;0;0,01;0,01;0;0;120;Sub-Saharan Africa
;1875;99,9;0,1;0;0;0,01;0,01;0;0;143;Sub-Saharan Africa
;1880;99,9;0,1;0;0;0,01;0,01;0;0;167;Sub-Saharan Africa
;1885;99,8;0,2;0;0;0,01;0,01;0;0;199;Sub-Saharan Africa
;1890;99,8;0,2;0;0;0,01;0,01;0;0;231;Sub-Saharan Africa
;1895;99,7;0,3;0;0;0,02;0,01;0;0;275;Sub-Saharan Africa
;1900;99,6;0,4;0;0;0,02;0,02;0;0;320;Sub-Saharan Africa
;1905;99,5;0,5;0;0;0,02;0,02;0;0;382;Sub-Saharan Africa
;1910;98,1;1,9;0;0;0,08;0,08;0;0;443;Sub-Saharan Africa
;1915;96,6;3,4;0,1;0;0,14;0,13;0;0;516;Sub-Saharan Africa
;1920;95,3;4,7;0,1;0;0,19;0,19;0,01;0;587;Sub-Saharan Africa
;1925;93,9;6,1;0,1;0;0,25;0,24;0,01;0;683;Sub-Saharan Africa
;1930;92,5;7,4;0,1;0,1;0,31;0,3;0,01;0;779;Sub-Saharan Africa
;1935;92,8;6,9;0,3;0,1;0,32;0,29;0,02;0;906;Sub-Saharan Africa
;1940;92,7;6,7;0,5;0,2;0,35;0,3;0,04;0,01;1032;Sub-Saharan Africa
;1945;92,4;6,6;0,8;0,3;0,39;0,32;0,06;0,01;1201;Sub-Saharan Africa
;1950;85,6;10,8;3,2;0,4;0,86;0,67;0,17;0,01;1367;Sub-Saharan Africa
;1955;85,1;10,9;3,4;0,6;0,91;0,7;0,19;0,02;1618;Sub-Saharan Africa
;1960;84,5;10,9;3,9;0,7;0,99;0,74;0,23;0,02;1914;Sub-Saharan Africa
;1965;83,6;11,1;4,4;0,9;1,09;0,8;0,27;0,03;2256;Sub-Saharan Africa
;1970;81,3;11,5;6,1;1,1;1,33;0,94;0,36;0,03;2809;Sub-Saharan Africa
;1975;78,1;10,4;10,1;1,4;1,76;1,16;0,56;0,04;3464;Sub-Saharan Africa
;1980;73,9;11,9;12,5;1,7;2,13;1,39;0,69;0,05;4360;Sub-Saharan Africa
;1985;70,1;13,7;14,3;1,9;2,46;1,61;0,79;0,06;5402;Sub-Saharan Africa
;1990;66;15,6;16,6;1,8;2,79;1,84;0,89;0,06;6461;Sub-Saharan Africa
;1995;56;24,2;16,6;3,1;3,46;2,36;1;0,1;7626;Sub-Saharan Africa
;2000;47,1;32,1;16,8;4;4,06;2,83;1,11;0,13;8990;Sub-Saharan Africa
;2005;41,8;35,5;18,6;4,2;4,52;3,14;1,24;0,13;9962;Sub-Saharan Africa
;2010;36,9;38,9;20;4,2;4,93;3,43;1,37;0,13;11164;Sub-Saharan Africa
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Gambia;1870;98,6;1,4;0;0;0,05;0,05;0;0;9;Sub-Saharan Africa
;1875;98,2;1,8;0;0;0,06;0,06;0;0;12;Sub-Saharan Africa
